,influencer_name,number_of_followers,url,credential,language
0,Elyse Myers,7.1M,https://www.tiktok.com/@elysemyers,Non-expert,english
1,Dr. Julie Smith,4.7M,https://www.tiktok.com/@drjulie,psychologist,english
2,Nadia Addesi,2.9M,https://www.tiktok.com/@nadiaaddesi,Registered social worker & psychotherapist,english
3,Jeff Guenther,2.8M,https://www.tiktok.com/@therapyjeff,Non-expert,english
4,Matthias J. Barker,2.7M,https://www.tiktok.com/@matthiasjbarker,Psychotherapist,english
5,Evan Lieberman,1.1M,https://www.tiktok.com/@evan.the.counselor,Licenced mental health advocate,english
6,Micheline Maalouf,1.1M,https://www.tiktok.com/@micheline.maalouf,Therapist,english
7,Chloe Hayden,786.1K,https://www.tiktok.com/@chloeshayden,Non-expert,english
8,Dr. Justin Puder Ph.D.,683.2K,https://www.tiktok.com/@amoderntherapist,Licensed Psychologist/Therapist,english
9,Shani Tran,618.2K,https://www.tiktok.com/@theshaniproject,licensed professional clinical counselor,english
10,Chlo,3.7M,https://www.tiktok.com/@chloemariedub,Non-expert,portuguese
11,Saúde da Mente,2.7M,https://www.tiktok.com/@saude.da.mentee,Public profile containing experts and non-experts videos,portuguese
12,Giovanna Sousa Cariry,2.4M,https://www.tiktok.com/@giovannasousacariry,Non-expert,portuguese
13,Bela Liah,1.7M,https://www.tiktok.com/@bela_ssincera,Non-expert,portuguese
14,Mente Blindada8924,1M,https://www.tiktok.com/@menteblindadaa8924,Public profile containing experts and non-experts videos,portuguese
15,Saúde Mental Feminina ❣,93.2K,https://www.tiktok.com/@sua.saude.mental2,Public profile containing experts and non-experts videos,portuguese
16,Ketlyn Xavier,910.4K,https://www.tiktok.com/@ketlynrx,Expert - Psychologist,portuguese
17,Luiza Barbosa,871.8K,https://www.tiktok.com/@luiza.rbarbosa,Non-expert
18,Ana Beatriz Barbosa,842K,https://www.tiktok.com/@draanabeatriz11,Unnoficial account with licensed mental health advocate videos,portuguese
19,Matheus,668.4K,https://www.tiktok.com/@psicologo.mateus,Expert - Psychologist,portuguese
20,Salma Om Mochi,96.8K,https://www.tiktok.com/@omm_mochi,Non-Expert,arabic
21,Dr. Monda Reda ,82K,https://www.tiktok.com/@monaredapsych,Expert-psychiatrist and sex therapist,arabic
22,Ahmed Sameh,65.4K,https://www.tiktok.com/@emmkanegypt,Expert- Mental Health coaching,arabic
23,tamtamvsworld,622.7K,https://www.tiktok.com/@tamtamvsworld,non-expert,arabic
24,Dr. Mohammed El Shourbagy (ma_wra2_elndarh),584.4K,https://www.tiktok.com/@ma_wra2_elndarh,Expert-Psychiatrist,arabic
25,Aya Saied Shoaib,557.4K,https://www.tiktok.com/@ayashoaibpage,Non-Expert (Content Creator),arabic
26,Yasmeen talks,55.5k,https://www.tiktok.com/@yasmeentalks,Non-Expert,arabic
27,Dr. Somaya AlShaiby,49.3 K,https://www.tiktok.com/@mssomayaalshaiby,Expert,arabic
28,Laila Algohary,44.7K,https://www.tiktok.com/@thetherapyroomm?_t=8iEfktTg91G&_r=1,Expert (Psychologist),arabic
29,Michael Malak,40.3K,https://www.tiktok.com/@themichaelmalak,Expert- Psychologist,arabic